Resource,Data Source

# Virtual Machines
Virtual Machine,VM Metrics
Virtual Machine,VM Metrics
Virtual Machine,VM Metrics
Virtual Machine,VM Metadata

VM Metrics,Storage Table
VM Metrics,Azure Metrics
VM Metrics,Universal Forwarder
VM Metadata,Microsoft Azure Add-on for Splunk

# Diagnostic Logs
Diagnostic Logs,Storage Blob
Diagnostic Logs,Event Hub

# Security Center
Azure Security Center,ASC Alerts
Azure Security Center,ASC Tasks

ASC Alerts,Microsoft Azure Add-on for Splunk
ASC Tasks,Microsoft Azure Add-on for Splunk

# Azure Websites
Azure Websites,WebsiteApplication Logs,Storage Blob
Azure Websites,Website Server Logs,Storage Blob

WebsiteApplication Logs,Storage Blob
Website Server Logs,Storage Blob

# Application Insights
Application Insights,Storage Blob

# Activity Log
Activity Logs,Event Hub
Activity Logs,Splunk Add-on for Microsoft Cloud Services

# Cost and Consumption
Cost & Billing,Billing Details
Cost & Billing,Reservation Recommendations

Billing Details,Microsoft Azure Add-on for Splunk
Reservation Recommendations,Microsoft Azure Add-on for Splunk

# Azure AD
Azure Active Directory,AAD Users
Azure Active Directory,AAD Sign-ins
Azure Active Directory,AAD Audit

AAD Users,Microsoft Azure Add-on for Splunk
AAD Sign-ins,Microsoft Azure Add-on for Splunk
AAD Sign-ins,Event Hub
AAD Audit,Microsoft Azure Add-on for Splunk
AAD Audit,Event Hub

# Network Watcher
Network Watcher,Network Security Group Flow Logs
Network Watcher,Topology

Network Security Group Flow Logs,Storage Blob
Topology,Microsoft Azure Add-on for Splunk

# Storage
Storage Table,Splunk Add-on for Microsoft Cloud Services
Storage Blob,Splunk Add-on for Microsoft Cloud Services

# Azure Metrics
Azure Metrics,Microsoft Azure Add-on for Splunk
Azure Metrics,Azure Monitor Add-on for Splunk

# Event Hub
Event Hub,Microsoft Azure Add-on for Splunk
Event Hub,Azure Monitor Add-on for Splunk
Event Hub,Azure Functions
